Namespace,System.String,System.Private.CoreLib
IsSignatureType,System.Boolean,System.Private.CoreLib
IsGenericType,System.Boolean,System.Private.CoreLib
MemberType,System.Reflection.MemberTypes,System.Private.CoreLib
UnderlyingSystemType,System.Type,System.Private.CoreLib
FullName,System.String,System.Private.CoreLib
AssemblyQualifiedName,System.String,System.Private.CoreLib
Assembly,System.Reflection.Assembly,System.Private.CoreLib
Module,System.Reflection.Module,System.Private.CoreLib
ReflectedType,System.Type,System.Private.CoreLib
BaseType,System.Type,System.Private.CoreLib
MetadataToken,System.Int32,System.Private.CoreLib
DeclaringType,System.Type,System.Private.CoreLib
DeclaringMethod,System.Reflection.MethodBase,System.Private.CoreLib
GenericParameterAttributes,System.Reflection.GenericParameterAttributes,System.Private.CoreLib
GUID,System.Guid,System.Private.CoreLib
CustomAttributes,System.Collections.Generic.IEnumerable`1,System.Private.CoreLib
IsEnum,System.Boolean,System.Private.CoreLib
IsSecurityCritical,System.Boolean,System.Private.CoreLib
IsSecuritySafeCritical,System.Boolean,System.Private.CoreLib
IsSecurityTransparent,System.Boolean,System.Private.CoreLib
IsSerializable,System.Boolean,System.Private.CoreLib
StructLayoutAttribute,System.Runtime.InteropServices.StructLayoutAttribute,System.Private.CoreLib
TypeHandle,System.RuntimeTypeHandle,System.Private.CoreLib
IsInterface,System.Boolean,System.Private.CoreLib
IsNested,System.Boolean,System.Private.CoreLib
IsArray,System.Boolean,System.Private.CoreLib
IsByRef,System.Boolean,System.Private.CoreLib
IsPointer,System.Boolean,System.Private.CoreLib
HasElementType,System.Boolean,System.Private.CoreLib
Attributes,System.Reflection.TypeAttributes,System.Private.CoreLib
IsAbstract,System.Boolean,System.Private.CoreLib
IsImport,System.Boolean,System.Private.CoreLib
IsSealed,System.Boolean,System.Private.CoreLib
IsSpecialName,System.Boolean,System.Private.CoreLib
IsClass,System.Boolean,System.Private.CoreLib
IsNestedAssembly,System.Boolean,System.Private.CoreLib
IsNestedFamANDAssem,System.Boolean,System.Private.CoreLib
IsNestedFamily,System.Boolean,System.Private.CoreLib
IsNestedFamORAssem,System.Boolean,System.Private.CoreLib
IsNestedPrivate,System.Boolean,System.Private.CoreLib
IsNestedPublic,System.Boolean,System.Private.CoreLib
IsNotPublic,System.Boolean,System.Private.CoreLib
IsPublic,System.Boolean,System.Private.CoreLib
IsAutoLayout,System.Boolean,System.Private.CoreLib
IsExplicitLayout,System.Boolean,System.Private.CoreLib
IsLayoutSequential,System.Boolean,System.Private.CoreLib
IsAnsiClass,System.Boolean,System.Private.CoreLib
IsAutoClass,System.Boolean,System.Private.CoreLib
IsUnicodeClass,System.Boolean,System.Private.CoreLib
IsCOMObject,System.Boolean,System.Private.CoreLib
IsContextful,System.Boolean,System.Private.CoreLib
IsMarshalByRef,System.Boolean,System.Private.CoreLib
IsPrimitive,System.Boolean,System.Private.CoreLib
IsValueType,System.Boolean,System.Private.CoreLib
TypeInitializer,System.Reflection.ConstructorInfo,System.Private.CoreLib
IsVisible,System.Boolean,System.Private.CoreLib
IsCollectible,System.Boolean,System.Private.CoreLib
IsSZArray,System.Boolean,System.Private.CoreLib
IsVariableBoundArray,System.Boolean,System.Private.CoreLib
IsTypeDefinition,System.Boolean,System.Private.CoreLib
IsGenericTypeDefinition,System.Boolean,System.Private.CoreLib
IsByRefLike,System.Boolean,System.Private.CoreLib
IsConstructedGenericType,System.Boolean,System.Private.CoreLib
IsGenericParameter,System.Boolean,System.Private.CoreLib
IsGenericTypeParameter,System.Boolean,System.Private.CoreLib
IsGenericMethodParameter,System.Boolean,System.Private.CoreLib
ContainsGenericParameters,System.Boolean,System.Private.CoreLib
GenericTypeArguments,System.Type[],System.Private.CoreLib
GenericParameterPosition,System.Int32,System.Private.CoreLib
Name,System.String,System.Private.CoreLib
Namespace,System.String,System.Private.CoreLib
IsSignatureType,System.Boolean,System.Private.CoreLib
IsGenericType,System.Boolean,System.Private.CoreLib
MemberType,System.Reflection.MemberTypes,System.Private.CoreLib
UnderlyingSystemType,System.Type,System.Private.CoreLib
FullName,System.String,System.Private.CoreLib
AssemblyQualifiedName,System.String,System.Private.CoreLib
Assembly,System.Reflection.Assembly,System.Private.CoreLib
Module,System.Reflection.Module,System.Private.CoreLib
ReflectedType,System.Type,System.Private.CoreLib
BaseType,System.Type,System.Private.CoreLib
MetadataToken,System.Int32,System.Private.CoreLib
DeclaringType,System.Type,System.Private.CoreLib
DeclaringMethod,System.Reflection.MethodBase,System.Private.CoreLib
GenericParameterAttributes,System.Reflection.GenericParameterAttributes,System.Private.CoreLib
GUID,System.Guid,System.Private.CoreLib
CustomAttributes,System.Collections.Generic.IEnumerable`1,System.Private.CoreLib
IsEnum,System.Boolean,System.Private.CoreLib
IsSecurityCritical,System.Boolean,System.Private.CoreLib
IsSecuritySafeCritical,System.Boolean,System.Private.CoreLib
IsSecurityTransparent,System.Boolean,System.Private.CoreLib
IsSerializable,System.Boolean,System.Private.CoreLib
StructLayoutAttribute,System.Runtime.InteropServices.StructLayoutAttribute,System.Private.CoreLib
TypeHandle,System.RuntimeTypeHandle,System.Private.CoreLib
IsInterface,System.Boolean,System.Private.CoreLib
IsNested,System.Boolean,System.Private.CoreLib
IsArray,System.Boolean,System.Private.CoreLib
IsByRef,System.Boolean,System.Private.CoreLib
IsPointer,System.Boolean,System.Private.CoreLib
HasElementType,System.Boolean,System.Private.CoreLib
Attributes,System.Reflection.TypeAttributes,System.Private.CoreLib
IsAbstract,System.Boolean,System.Private.CoreLib
IsImport,System.Boolean,System.Private.CoreLib
IsSealed,System.Boolean,System.Private.CoreLib
IsSpecialName,System.Boolean,System.Private.CoreLib
IsClass,System.Boolean,System.Private.CoreLib
IsNestedAssembly,System.Boolean,System.Private.CoreLib
IsNestedFamANDAssem,System.Boolean,System.Private.CoreLib
IsNestedFamily,System.Boolean,System.Private.CoreLib
IsNestedFamORAssem,System.Boolean,System.Private.CoreLib
IsNestedPrivate,System.Boolean,System.Private.CoreLib
IsNestedPublic,System.Boolean,System.Private.CoreLib
IsNotPublic,System.Boolean,System.Private.CoreLib
IsPublic,System.Boolean,System.Private.CoreLib
IsAutoLayout,System.Boolean,System.Private.CoreLib
IsExplicitLayout,System.Boolean,System.Private.CoreLib
IsLayoutSequential,System.Boolean,System.Private.CoreLib
IsAnsiClass,System.Boolean,System.Private.CoreLib
IsAutoClass,System.Boolean,System.Private.CoreLib
IsUnicodeClass,System.Boolean,System.Private.CoreLib
IsCOMObject,System.Boolean,System.Private.CoreLib
IsContextful,System.Boolean,System.Private.CoreLib
IsMarshalByRef,System.Boolean,System.Private.CoreLib
IsPrimitive,System.Boolean,System.Private.CoreLib
IsValueType,System.Boolean,System.Private.CoreLib
TypeInitializer,System.Reflection.ConstructorInfo,System.Private.CoreLib
IsVisible,System.Boolean,System.Private.CoreLib
IsCollectible,System.Boolean,System.Private.CoreLib
IsSignatureType,System.Boolean,System.Private.CoreLib
IsTypeDefinition,System.Boolean,System.Private.CoreLib
IsSZArray,System.Boolean,System.Private.CoreLib
IsVariableBoundArray,System.Boolean,System.Private.CoreLib
IsByRefLike,System.Boolean,System.Private.CoreLib
IsGenericType,System.Boolean,System.Private.CoreLib
IsGenericTypeDefinition,System.Boolean,System.Private.CoreLib
IsConstructedGenericType,System.Boolean,System.Private.CoreLib
IsGenericParameter,System.Boolean,System.Private.CoreLib
IsGenericTypeParameter,System.Boolean,System.Private.CoreLib
IsGenericMethodParameter,System.Boolean,System.Private.CoreLib
ContainsGenericParameters,System.Boolean,System.Private.CoreLib
MemberType,System.Reflection.MemberTypes,System.Private.CoreLib
GenericTypeArguments,System.Type[],System.Private.CoreLib
GenericParameterPosition,System.Int32,System.Private.CoreLib
UnderlyingSystemType,System.Type,System.Private.CoreLib
Name,System.String,System.Private.CoreLib
Namespace,System.String,System.Private.CoreLib
FullName,System.String,System.Private.CoreLib
AssemblyQualifiedName,System.String,System.Private.CoreLib
Assembly,System.Reflection.Assembly,System.Private.CoreLib
Module,System.Reflection.Module,System.Private.CoreLib
ReflectedType,System.Type,System.Private.CoreLib
BaseType,System.Type,System.Private.CoreLib
MetadataToken,System.Int32,System.Private.CoreLib
DeclaringType,System.Type,System.Private.CoreLib
DeclaringMethod,System.Reflection.MethodBase,System.Private.CoreLib
GenericParameterAttributes,System.Reflection.GenericParameterAttributes,System.Private.CoreLib
GUID,System.Guid,System.Private.CoreLib
CustomAttributes,System.Collections.Generic.IEnumerable`1,System.Private.CoreLib
IsEnum,System.Boolean,System.Private.CoreLib
IsSecurityCritical,System.Boolean,System.Private.CoreLib
IsSecuritySafeCritical,System.Boolean,System.Private.CoreLib
IsSecurityTransparent,System.Boolean,System.Private.CoreLib
IsSerializable,System.Boolean,System.Private.CoreLib
StructLayoutAttribute,System.Runtime.InteropServices.StructLayoutAttribute,System.Private.CoreLib
TypeHandle,System.RuntimeTypeHandle,System.Private.CoreLib
IsInterface,System.Boolean,System.Private.CoreLib
IsNested,System.Boolean,System.Private.CoreLib
IsArray,System.Boolean,System.Private.CoreLib
IsByRef,System.Boolean,System.Private.CoreLib
IsPointer,System.Boolean,System.Private.CoreLib
HasElementType,System.Boolean,System.Private.CoreLib
Attributes,System.Reflection.TypeAttributes,System.Private.CoreLib
IsAbstract,System.Boolean,System.Private.CoreLib
IsImport,System.Boolean,System.Private.CoreLib
IsSealed,System.Boolean,System.Private.CoreLib
IsSpecialName,System.Boolean,System.Private.CoreLib
IsClass,System.Boolean,System.Private.CoreLib
IsNestedAssembly,System.Boolean,System.Private.CoreLib
IsNestedFamANDAssem,System.Boolean,System.Private.CoreLib
IsNestedFamily,System.Boolean,System.Private.CoreLib
IsNestedFamORAssem,System.Boolean,System.Private.CoreLib
IsNestedPrivate,System.Boolean,System.Private.CoreLib
IsNestedPublic,System.Boolean,System.Private.CoreLib
IsNotPublic,System.Boolean,System.Private.CoreLib
IsPublic,System.Boolean,System.Private.CoreLib
IsAutoLayout,System.Boolean,System.Private.CoreLib
IsExplicitLayout,System.Boolean,System.Private.CoreLib
IsLayoutSequential,System.Boolean,System.Private.CoreLib
IsAnsiClass,System.Boolean,System.Private.CoreLib
IsAutoClass,System.Boolean,System.Private.CoreLib
IsUnicodeClass,System.Boolean,System.Private.CoreLib
IsCOMObject,System.Boolean,System.Private.CoreLib
IsContextful,System.Boolean,System.Private.CoreLib
IsMarshalByRef,System.Boolean,System.Private.CoreLib
IsPrimitive,System.Boolean,System.Private.CoreLib
IsValueType,System.Boolean,System.Private.CoreLib
TypeInitializer,System.Reflection.ConstructorInfo,System.Private.CoreLib
IsVisible,System.Boolean,System.Private.CoreLib
IsCollectible,System.Boolean,System.Private.CoreLib
PublicKey,System.Byte[],System.Private.CoreLib
TargetSite,System.Reflection.MethodBase,System.Private.CoreLib
StackTrace,System.String,System.Private.CoreLib
Message,System.String,System.Private.CoreLib
Data,System.Collections.IDictionary,System.Private.CoreLib
InnerException,System.Exception,System.Private.CoreLib
HelpLink,System.String,System.Private.CoreLib
Source,System.String,System.Private.CoreLib
HResult,System.Int32,System.Private.CoreLib
TargetSite,System.Reflection.MethodBase,System.Private.CoreLib
StackTrace,System.String,System.Private.CoreLib
Message,System.String,System.Private.CoreLib
Data,System.Collections.IDictionary,System.Private.CoreLib
InnerException,System.Exception,System.Private.CoreLib
HelpLink,System.String,System.Private.CoreLib
Source,System.String,System.Private.CoreLib
HResult,System.Int32,System.Private.CoreLib
TargetSite,System.Reflection.MethodBase,System.Private.CoreLib
StackTrace,System.String,System.Private.CoreLib
Message,System.String,System.Private.CoreLib
Data,System.Collections.IDictionary,System.Private.CoreLib
InnerException,System.Exception,System.Private.CoreLib
HelpLink,System.String,System.Private.CoreLib
Source,System.String,System.Private.CoreLib
HResult,System.Int32,System.Private.CoreLib
GUID,System.Guid,System.Private.CoreLib
MetadataToken,System.Int32,System.Private.CoreLib
Module,System.Reflection.Module,System.Private.CoreLib
Assembly,System.Reflection.Assembly,System.Private.CoreLib
TypeHandle,System.RuntimeTypeHandle,System.Private.CoreLib
Name,System.String,System.Private.CoreLib
FullName,System.String,System.Private.CoreLib
Namespace,System.String,System.Private.CoreLib
AssemblyQualifiedName,System.String,System.Private.CoreLib
BaseType,System.Type,System.Private.CoreLib
IsTypeDefinition,System.Boolean,System.Private.CoreLib
IsSZArray,System.Boolean,System.Private.CoreLib
IsVariableBoundArray,System.Boolean,System.Private.CoreLib
IsGenericTypeParameter,System.Boolean,System.Private.CoreLib
IsGenericMethodParameter,System.Boolean,System.Private.CoreLib
IsByRefLike,System.Boolean,System.Private.CoreLib
IsConstructedGenericType,System.Boolean,System.Private.CoreLib
IsCollectible,System.Boolean,System.Private.CoreLib
UnderlyingSystemType,System.Type,System.Private.CoreLib
GenericTypeParameters,System.Type[],System.Private.CoreLib
DeclaredConstructors,System.Collections.Generic.IEnumerable`1,System.Private.CoreLib
DeclaredEvents,System.Collections.Generic.IEnumerable`1,System.Private.CoreLib
DeclaredFields,System.Collections.Generic.IEnumerable`1,System.Private.CoreLib
DeclaredMembers,System.Collections.Generic.IEnumerable`1,System.Private.CoreLib
DeclaredMethods,System.Collections.Generic.IEnumerable`1,System.Private.CoreLib
DeclaredNestedTypes,System.Collections.Generic.IEnumerable`1,System.Private.CoreLib
DeclaredProperties,System.Collections.Generic.IEnumerable`1,System.Private.CoreLib
ImplementedInterfaces,System.Collections.Generic.IEnumerable`1,System.Private.CoreLib
IsInterface,System.Boolean,System.Private.CoreLib
MemberType,System.Reflection.MemberTypes,System.Private.CoreLib
IsNested,System.Boolean,System.Private.CoreLib
DeclaringType,System.Type,System.Private.CoreLib
DeclaringMethod,System.Reflection.MethodBase,System.Private.CoreLib
ReflectedType,System.Type,System.Private.CoreLib
IsArray,System.Boolean,System.Private.CoreLib
IsByRef,System.Boolean,System.Private.CoreLib
IsPointer,System.Boolean,System.Private.CoreLib
IsGenericParameter,System.Boolean,System.Private.CoreLib
IsGenericType,System.Boolean,System.Private.CoreLib
IsGenericTypeDefinition,System.Boolean,System.Private.CoreLib
HasElementType,System.Boolean,System.Private.CoreLib
GenericTypeArguments,System.Type[],System.Private.CoreLib
GenericParameterPosition,System.Int32,System.Private.CoreLib
GenericParameterAttributes,System.Reflection.GenericParameterAttributes,System.Private.CoreLib
Attributes,System.Reflection.TypeAttributes,System.Private.CoreLib
IsAbstract,System.Boolean,System.Private.CoreLib
IsImport,System.Boolean,System.Private.CoreLib
IsSealed,System.Boolean,System.Private.CoreLib
IsSpecialName,System.Boolean,System.Private.CoreLib
IsClass,System.Boolean,System.Private.CoreLib
IsNestedAssembly,System.Boolean,System.Private.CoreLib
IsNestedFamANDAssem,System.Boolean,System.Private.CoreLib
IsNestedFamily,System.Boolean,System.Private.CoreLib
IsNestedFamORAssem,System.Boolean,System.Private.CoreLib
IsNestedPrivate,System.Boolean,System.Private.CoreLib
IsNestedPublic,System.Boolean,System.Private.CoreLib
IsNotPublic,System.Boolean,System.Private.CoreLib
IsPublic,System.Boolean,System.Private.CoreLib
IsAutoLayout,System.Boolean,System.Private.CoreLib
IsExplicitLayout,System.Boolean,System.Private.CoreLib
IsLayoutSequential,System.Boolean,System.Private.CoreLib
IsAnsiClass,System.Boolean,System.Private.CoreLib
IsAutoClass,System.Boolean,System.Private.CoreLib
IsUnicodeClass,System.Boolean,System.Private.CoreLib
IsCOMObject,System.Boolean,System.Private.CoreLib
IsContextful,System.Boolean,System.Private.CoreLib
